Survey Date,Question Text,variable,value
JUL-2015,The mbta provides reliable public transportation services.,Strongly Disagree,13.5364014
JUL-2015,The mbta provides reliable public transportation services.,Disagree,12.40310793
JUL-2015,The mbta provides reliable public transportation services.,Slightly Disagree,16.47465272
JUL-2015,The mbta provides reliable public transportation services.,Neither Agree nor Disagree,7.5636352
JUL-2015,The mbta provides reliable public transportation services.,Slightly Agree,24.60098373
JUL-2015,The mbta provides reliable public transportation services.,Agree,22.606385
JUL-2015,The mbta provides reliable public transportation services.,Strongly Agree,2.81483402
