Survey Date,Question Text,variable,value
JUL-2015,How likely are you to continue using the mbta in the future?,Strongly Disagree,0.84159224
JUL-2015,How likely are you to continue using the mbta in the future?,Disagree,0.21605787
JUL-2015,How likely are you to continue using the mbta in the future?,Slightly Disagree,0.21605787
JUL-2015,How likely are you to continue using the mbta in the future?,Neither Agree nor Disagree,4.10614495
JUL-2015,How likely are you to continue using the mbta in the future?,Slightly Agree,18.29027221
JUL-2015,How likely are you to continue using the mbta in the future?,Agree,26.7979485
JUL-2015,How likely are you to continue using the mbta in the future?,Strongly Agree,49.53192635
