"Survey Date","Question Group","Question Text",Respondents,"Average Rating Out of 7","Response 1 Text","Response 1 Percent","Response 2 Text","Response 2 Percent","Response 3 Text","Response 3 Percent","Response 4 Text","Response 4 Percent","Response 5 Text","Response 5 Percent","Response 6 Text","Response 6 Percent","Response 7 Text","Response 7 Percent"
01-JUL-2015,Communication,T-alerts,439,4.48,"Extremely Dissatisfied",.0683789858,"Very Dissatisfied",.1063939888,"Somewhat Dissatisfied",.1359861402,Neutral,.1278056567,"Somewhat Satisfied",.2075301579,"Very Satisfied",.2327624955,"Extremely Satisfied",.1211425750
01-JUL-2015,Communication,"Real-time mobile apps (e.g. nextbus)",314,5.12,"Extremely Dissatisfied",.0417598918,"Very Dissatisfied",.0590524870,"Somewhat Dissatisfied",.0609370958,Neutral,.1374243351,"Somewhat Satisfied",.2005224690,"Very Satisfied",.2811608671,"Extremely Satisfied",.2191428542
01-JUL-2015,Communication,"Scheduled service interruptions",418,4.41,"Extremely Dissatisfied",.1077198355,"Very Dissatisfied",.0592702540,"Somewhat Dissatisfied",.0705588303,Neutral,.2580928397,"Somewhat Satisfied",.1721593898,"Very Satisfied",.2416793885,"Extremely Satisfied",.0905194621
01-JUL-2015,Perceptions,"The mbta provides reliable public transportation services.",491,3.96,"Strongly Disagree",.1353640140,Disagree,.1240310793,"Slightly Disagree",.1647465272,"Neither Agree nor Disagree",.0756363520,"Slightly Agree",.2460098373,Agree,.2260638500,"Strongly Agree",.0281483402
01-JUL-2015,Perceptions,"The mbta is a cost-conscious organization.",488,3.17,"Strongly Disagree",.2369121298,Disagree,.1628644111,"Slightly Disagree",.1403134417,"Neither Agree nor Disagree",.2450286716,"Slightly Agree",.1074699692,Agree,.0831554075,"Strongly Agree",.0242559692
01-JUL-2015,Perceptions,"The positives of the mbta outweigh the negatives.",491,4.68,"Strongly Disagree",.0586763284,Disagree,.0753179204,"Slightly Disagree",.1008376687,"Neither Agree nor Disagree",.1418426624,"Slightly Agree",.2496002515,Agree,.2589413616,"Strongly Agree",.1147838070
01-JUL-2015,Perceptions,"The mbta uses technology to meet the needs and demands of its riders.",490,4.07,"Strongly Disagree",.1037724618,Disagree,.1390722825,"Slightly Disagree",.1162264582,"Neither Agree nor Disagree",.1337904645,"Slightly Agree",.2782903170,Agree,.1876130870,"Strongly Agree",.0412349291
01-JUL-2015,Perceptions,"I use the mbta because i consider myself to be an environmentally conscious person.",491,4.66,"Strongly Disagree",.0594074532,Disagree,.1014224493,"Slightly Disagree",.0386259280,"Neither Agree nor Disagree",.2407605595,"Slightly Agree",.1828131379,Agree,.2312794371,"Strongly Agree",.1456910350
01-JUL-2015,Perceptions,"The mbta is easy to use.",489,5.08,"Strongly Disagree",.0301326111,Disagree,.0482649055,"Slightly Disagree",.0784073022,"Neither Agree nor Disagree",.1093862922,"Slightly Agree",.2371997504,Agree,.3792517401,"Strongly Agree",.1173573985
01-JUL-2015,"Top Line","How would you rate the mbta overall?",647,4.55,"Extremely Dissatisfied",.0194617846,"Very Dissatisfied",.0633606409,"Somewhat Dissatisfied",.1689039194,Neutral,.1033653255,"Somewhat Satisfied",.4021962811,"Very Satisfied",.2232581076,"Extremely Satisfied",.0194539409
01-JUL-2015,"Top Line","How would you rate this trip overall?",501,4.99,"Extremely Dissatisfied",.0256093289,"Very Dissatisfied",.0392635949,"Somewhat Dissatisfied",.1038611270,Neutral,.1020164980,"Somewhat Satisfied",.2740835851,"Very Satisfied",.3900951998,"Extremely Satisfied",.0650706662
01-JUL-2015,"Top Line","How likely are you to continue using the mbta in the future?",492,6.17,"Extremely Unlikely",.0084159224,"Very Unlikely",.0021605787,Unlikely,.0021605787,"Neither Likely nor Unlikely",.0410614495,Likely,.1829027221,"Very Likely",.2679794850,"Extremely Likely",.4953192635
01-AUG-2015,Communication,"Mbta website",464,5.13,"Extremely Dissatisfied",.0273786299,"Very Dissatisfied",.0345683741,"Somewhat Dissatisfied",.0664222737,Neutral,.1928751456,"Somewhat Satisfied",.1814380553,"Very Satisfied",.3263493387,"Extremely Satisfied",.1709681828
01-AUG-2015,Communication,"Real time arrival signage (""countdown timers"")",476,5.15,"Extremely Dissatisfied",.0308292638,"Very Dissatisfied",.0581782837,"Somewhat Dissatisfied",.1129034674,Neutral,.0698487549,"Somewhat Satisfied",.2416917473,"Very Satisfied",.2288222674,"Extremely Satisfied",.2577262156
01-AUG-2015,Communication,"In-station delay announcements",471,4.51,"Extremely Dissatisfied",.0531403150,"Very Dissatisfied",.1275398220,"Somewhat Dissatisfied",.1261529121,Neutral,.1288043359,"Somewhat Satisfied",.2207174738,"Very Satisfied",.2024157474,"Extremely Satisfied",.1412293938
01-AUG-2015,Communication,"On-vehicle delay announcements",478,4.17,"Extremely Dissatisfied",.0820288290,"Very Dissatisfied",.1375690751,"Somewhat Dissatisfied",.1582001271,Neutral,.1516078033,"Somewhat Satisfied",.1933828601,"Very Satisfied",.1734011029,"Extremely Satisfied",.1038102027
01-AUG-2015,Communication,T-alerts,456,4.91,"Extremely Dissatisfied",.0438018144,"Very Dissatisfied",.0760672825,"Somewhat Dissatisfied",.1126803313,Neutral,.1171972523,"Somewhat Satisfied",.1863898089,"Very Satisfied",.2694443505,"Extremely Satisfied",.1944191601
01-AUG-2015,Communication,"Real-time mobile apps (e.g. nextbus)",308,5.26,"Extremely Dissatisfied",.0267573586,"Very Dissatisfied",.0417950932,"Somewhat Dissatisfied",.0785978776,Neutral,.1192906171,"Somewhat Satisfied",.1955023382,"Very Satisfied",.3092437335,"Extremely Satisfied",.2288129817
01-AUG-2015,Communication,"Scheduled service interruptions",434,4.66,"Extremely Dissatisfied",.0576061972,"Very Dissatisfied",.0813272533,"Somewhat Dissatisfied",.1026998105,Neutral,.2152861175,"Somewhat Satisfied",.1485676087,"Very Satisfied",.2368428556,"Extremely Satisfied",.1576701573
01-AUG-2015,"Top Line","How would you rate the mbta overall?",601,4.48,"Extremely Dissatisfied",.0343518047,"Very Dissatisfied",.0767310055,"Somewhat Dissatisfied",.1696327769,Neutral,.1102940202,"Somewhat Satisfied",.3297123465,"Very Satisfied",.2569758063,"Extremely Satisfied",.0223022399
01-AUG-2015,"Top Line","How would you rate this trip overall?",508,4.81,"Extremely Dissatisfied",.0303576817,"Very Dissatisfied",.0563486583,"Somewhat Dissatisfied",.1409412279,Neutral,.0968779824,"Somewhat Satisfied",.2515983018,"Very Satisfied",.3698342460,"Extremely Satisfied",.0540419020
01-AUG-2015,"Top Line","How likely are you to continue using the mbta in the future?",500,6.30,"Extremely Unlikely",.0009929451,"Very Unlikely",.0075208603,Unlikely,.0080610187,"Neither Likely nor Unlikely",.0331191679,Likely,.1605014586,"Very Likely",.2056748325,"Extremely Likely",.5841297170
01-AUG-2015,Perceptions,"The mbta provides reliable public transportation services.",497,3.93,"Strongly Disagree",.1422431400,Disagree,.1429562888,"Slightly Disagree",.1456020729,"Neither Agree nor Disagree",.0735282574,"Slightly Agree",.2387453204,Agree,.2254116213,"Strongly Agree",.0315132991
01-AUG-2015,Perceptions,"The mbta is a cost-conscious organization.",498,3.43,"Strongly Disagree",.1888392377,Disagree,.1462657666,"Slightly Disagree",.1221404124,"Neither Agree nor Disagree",.2888319590,"Slightly Agree",.1254140663,Agree,.0991589627,"Strongly Agree",.0293495953
01-AUG-2015,Perceptions,"The positives of the mbta outweigh the negatives.",497,4.79,"Strongly Disagree",.0471004144,Disagree,.0770293815,"Slightly Disagree",.0857284662,"Neither Agree nor Disagree",.1494497106,"Slightly Agree",.2521305431,Agree,.2423500292,"Strongly Agree",.1462114549
01-AUG-2015,Perceptions,"The mbta uses technology to meet the needs and demands of its riders.",499,4.13,"Strongly Disagree",.0896120576,Disagree,.1165267811,"Slightly Disagree",.1474895445,"Neither Agree nor Disagree",.1371205283,"Slightly Agree",.2596131890,Agree,.2262482893,"Strongly Agree",.0233896102
